Country,Metro Area,State,Population,lat,lng
US,Anchorage, AK ,"407,213",61.151,-149.109
US,Fairbanks, AK ,"94,951",64.835,-147.653
US,Anniston, AL ,"116,427",33.671,-85.814
US,Auburn, AL ,"206,006",32.609,-85.490
US,Birmingham, AL ,"1,192,583",33.528,-86.797
US,Daphne, AL ,"261,608",30.626,-87.882
US,Decatur, AL ,"159,651",39.856,-88.934
US,Dothan, AL ,"154,766",31.234,-85.407
US,Florence, AL ,"156,287",34.178,-79.790
US,Gadsden, AL ,"103,207",34.009,-86.016
US,Huntsville, AL ,"542,297",34.698,-86.641
US,Mobile, AL ,"412,339",30.678,-88.116
US,Montgomery, AL ,"387,885",32.348,-86.267
US,Tuscaloosa, AL ,"281,963",33.235,-87.527
US,Fort Smith, AR,"232,848",35.350,-94.370
US,Fayetteville, AR ,"605,615",36.071,-94.166
US,Hot Springs, AR ,"99,902",34.489,-93.050
US,Jonesboro, AR ,"138,152",35.821,-90.679
US,Little Rock, AR ,"769,258",34.726,-92.358
US,Flagstaff, AZ ,"145,161",35.187,-111.619
US,Lake Havasu City, AZ ,"226,479",34.501,-114.311
US,Phoenix, AZ ,"5,186,958",33.572,-112.089
US,Prescott Valley, AZ ,"252,013",34.598,-112.319
US,Sierra Vista, AZ ,"125,773",31.563,-110.315
US,Tucson, AZ ,"1,080,149",32.154,-110.879
US,Yuma, AZ ,"220,310",32.600,-114.549
US,Bakersfield, CA ,"922,529",35.353,-119.036
US,Chico, CA ,"208,334",39.758,-121.816
US,El Centro, CA ,"181,724",32.787,-115.560
US,Fresno, CA ,"1,189,557",36.783,-119.794
US,Hanford, CA ,"154,913",36.327,-119.655
US,Los Angeles, CA ,"12,927,614",34.114,-118.407
US,Merced, CA ,"296,774",37.306,-120.478
US,Modesto, CA ,"556,972",37.638,-121.003
US,Napa, CA ,"132,727",38.298,-122.301
US,Oxnard, CA ,"835,427",34.196,-119.182
US,Redding, CA ,"181,121",40.570,-122.365
US,Riverside, CA ,"4,744,214",33.938,-117.395
US,Sacramento, CA ,"2,463,127",38.568,-121.469
US,Salinas, CA ,"436,251",36.688,-121.632
US,San Diego, CA ,"3,298,799",32.831,-117.122
US,San Francisco, CA ,"4,648,486",37.756,-122.445
US,San Jose, CA ,"1,995,484",37.301,-121.848
US,San Luis Obispo, CA ,"281,843",35.267,-120.669
US,Santa Cruz, CA ,"262,406",36.979,-122.035
US,Santa Maria, CA ,"444,500",34.933,-120.443
US,Santa Rosa, CA ,"485,375",38.446,-122.707
US,Stockton, CA ,"816,108",37.977,-121.311
US,Vallejo, CA ,"455,101",38.113,-122.234
US,Visalia, CA ,"483,546",36.328,-119.327
US,Yuba City, CA ,"186,014",39.136,-121.638
